lause|form|classification
Võrdlus numbrites : Creative võimsaim komplekt - supakas : 30W , satelliidid 8 W Klipsch Promedia 5.1 - supakas 200 W , satelliidid 60 W Jutt ei käi PMPO-st .|PMPO-st|NONE
Norra suusahoolderuumis lii-guvad tõsised näod , kuni saabub maailma karikasarja liider Bente Skari .|suusahoolderuumis|LOC
Istus lasteistmel tagapingil ja vaatas huviga aknast välja .|lasteistmel|LOC
Läänemere gümnaasiumi XI klassi õpilane Nadja käis infolaadal ka möödunud aastal .|infolaadal|NONE
Suht ajuvaba video , aga mõnes-mõttes käib kah|mõnes-mõttes|NONE
vastik ajaraiskamine  Eriti siis kui jõuad peaaegu lõppu siis hiir liigub kogemata 1 px vasakule ja oooops|px|NONE
Ei tea kas see on siis nii , et kumb ajupool hetkel mõtlemist domineerib , seda pidi näed naist tiirlemas ka , nt. alguses kui seda vaatama hakkasid olid sellises suva meeleolus eriti ei mõelnud , siis nägid seda ja hakkasid mõtlema kuidas selline asi võimalik on ja selline « asjade-välja-selgitamis » mõtlemine käib seal vasakus ajupoolkeras ? .|ajupoolkeras|LOC
Plumpsu , miks mul on selline tunne et sa käid TIK'is ning vene keele õpsiks sul Bogdanovitš|TIK'is|LOC
Mehhiko ralli viimasel päeval sõideti vaid kaks kiiruskatset ning esikolmikukohtadel liikunud meestele kujunes see lihtsalt lõpuni sõitmiseks .|esikolmikukohtadel|NONE
Küsimusele , ega tuntud inimesi maalima pääseda polnud ju algul lihtne , vastab Nikas , et kui Filipp Kirkorov muutus publiku jaoks huvitavaks alles siis , kui abiellus Alla Pugatšovaga , siis maalikunstis see kõik nii lihtsalt labase PR-trikiga ei käi .|maalikunstis|NONE
Rufus istus mugavalt tulevase Impeeriumi Kapitooliumi marmorsaalis oma troonil kus sai juhtida senati istungeid tulevikus kuid hoone oli alles poolvalmis ja isegi katust veel polnud .|marmorsaalis|LOC
a) Valgusest siiamaani kiiremini ei liigu miski .|Valgusest|NONE
varematel aegadel , kui käijaid oli rohkem ( ysna paljudes hiiekohtades käivad kohalik rahvas siiamaani , aga peale kyyditamisi ja läbi nõukogude aja on kylades rahvast ikka palju vähemaks jäänud ) , on see olnud väga oluline osa hooldamisest .|hiiekohtades|LOC
Mees istus oma päevad hullaris ära , sai vabaks ja elab praegu õnnelikku , normaalset elu .|hullaris|LOC
Ma ei ole päris kindel , et antud « saade ( ? ) » siia topicusse imehästi istub , kuid sarnased teemad käivad ka sealt läbi .|topicusse|NONE
käisin täna siis ära komisariaadis ... 2 aastat pikendust .|komisariaadis|LOC
Vaatamata meedias levinud kõhklustele ja kahtlustele , justkui ei oleks ETV võimeline Eurovisiooni Tallinnas korraldama , käis korraldustoimkonna koostamine .|kõhklustele|NONE
Liidu presidendi Ester Pruudeni sõnul lahkuvad õed haiglatöölt , et suunduda ravimifirmadesse müügiesindajateks .|haiglatöölt|LOC
"""autot ... teadupärast minu Hondake ülehelikiirusel ei liigu ..."|ülehelikiirusel|"NONE"""
Neiu olnud imestunud , et vormelipiloodil asi nõnda kähku käib , kuid oli ettepanekuga nõus ega kahetse .|vormelipiloodil|NONE
Istusime mingis kivihunnikus kolm tundi .|kivihunnikus|LOC
Ta kõndis meeleldi tundide viisi kiltmaal , sealhulgas mahajäetud laagrikohtades , kus äsja olid seisnud rändkarjuste jurtad .|kiltmaal|LOC
"""Mõni aeg tagasi käis Rõuge Pagari omanik Mati Sakhov Võru Taluturul , kus teiste seas kaupleb oma toodanguga Asell Pagar ."|Taluturul|"LOC"""
Tööturukoolituse saanud 145 läänlasest käis ümber- või uue kutse õppel 69 , täiendusõppel 76.|läänlasest|NONE
Et mehed istuvad samal ajal meestekas , on nii mõnedki kodused pinged sellega maandatud või isegi olematud .|meestekas|NONE
President Halonen käib vahepeal Lordi esilauljal kätt surumas .|esilauljal|NONE
Kuid Rommel võimalik , et ta oli kunagi Capril käinud ei külastanud eales Casa Malapartet ega vestelnud selle peremehega , kuigi Casa Malaparte on tõepoolest Capri uhkemaid hooneid uhkeima vaatega paigas .|Capril|LOC
aga nüüd istuvad ka kõik rõõmsalt msnis ?|msnis|NONE
Muidu ise oman Internet Explorerit ja paistab jah parem kui Netscape , sest sugulase juures Netscapes jooksis foorum vigaselt .|vigaselt|NONE
"""hmm ... kes pani t2hele , et sadistil jooksevad numbrid kiiremini ... v6i on lihtsalt need sekundid kudagi m2ngus ..."|sadistil|"NONE"""
Vaata , mis programmid sul task manageris jooksevad .|manageris|NONE
4V on siiski päris ohutu , minu Athlon64 jookseb 1,6V 24/7|6V|NONE
Tänavusuvisel Milano moenädalal käisid gigandid Gucci , Armani , Dolce & Gabbana ning Calvin Klein ühte sammu .|Tänavusuvisel|NONE
Umbes 1200 kilo uimasteid oli kas posti pandud või liikus Hollandisse kaubalennukitel , märkis uudisteagentuur ANP .|kaubalennukitel|LOC
Jutud käivad veel sügistuurist Ameerikas Lauryn Hilliga , kuid Tribe on laiali .|sügistuurist|NONE
""" Kanal 2000 "" on areenilt lahkunud , "" Selzkond "" varjusurmas ( ? ) , "" ZTV "" ja "" Muusika Sinule "" on sisuliselt üksteise otsa lükitud muusikavideod ."|varjusurmas|"NONE"""
Töö käib vanade 35mm ja 60mm filmidega ja jätkub veel kauaks .|35mm|NONE
vc's ja gta3's käis nagu väga pinda see , et raputab need 2 autot maha , ja ilmuvad juba uued , see viib mängu punkte väga alla , et põgeneda pole võimalik v.a ingi spray värk .|vc's|NONE
noh meil käib see kordamööda deivi|deivi|NONE
""" Sai-Baba ei teeks sellist asja iial , "" ütles Viilmaa , kes on ka ise Bangalore'is käinud ."|Bangalore'is|"LOC"""
Muidugi lahkuvad 5-st ka mõned vaidlejad ...|5-st|NONE
Jutt käib siis lõpusõrmustest .|lõpusõrmustest|NONE
Kui ta seal ka kasutab automaatikat ( jutt käib ikka sellest automaatikast , mida on ainult tiimshumi autol[isegi mitte barrichellol , vaid -->tiimshumi<--] )|automaatikast|NONE
pikamaa jooks ei ole mõttetu !!! ise ka jooksen , eesti esimeses 10-nes .|10-nes|NONE
üldiselt mõtlen praegu , et jään ikkagi selle plaani juurde , et teisipeäval ja neljapäeval käin , aga et kui aega on , siis pistan laupäeva/pühapäeva vahele , näiteks hommiku poole|teisipeäval|NONE
Noniii kes eile sõrestes käisid ?|sõrestes|NONE
Ameerikastumine on üks noid õnne tagatisi - meelelahutusmaailmas liigub suur raha just seal .|meelelahutusmaailmas|NONE
Praegu on nii - Arst liikus koos osakonnaga Keskhaiglast kiirabihaiglasse ja kaarti ei saanud kaasa .|kiirabihaiglasse|LOC
Kuna hääletamine on raske töö ja nõuab otustamist , siis lähen vahepeal käin nurgapalses poes ära kuivaks kisub .|nurgapalses|LOC
Tehke vahepeal võileibu ja käige lähimas statoilis sixbacki järel , pärast enam pole aega|statoilis|LOC
Komisjoni liikmed said kindlasti aru , et jutt käib vanaduspensionist .|vanaduspensionist|NONE
Ma käisin munamäe välipargis ja oli nati lagunenud , aga vähe objekte .|välipargis|LOC
jutt käib tavalisest kummipallist|kummipallist|LOC
« Ta on tavaline keskealine inimene , veidi tüse , sõidab Astraga , võtab napsu , käib aianduskaupluses ja mis peamine mõtleb . »|aianduskaupluses|LOC
"""Kui Kristaps Valters tegi seisuks 64 : 69 , oli Eestil neli võimalust korviga vastata , kõigepealt ei jõutud aga 24 sekundiga viskele , siis eksis Vallo Allingu kahel vabaviskel , siis vilistati Kriisale kiirrünnakul viga , siis astus ta korvi all otsejoonele ."|otsejoonele|"LOC"""
Iga sünniga liigub pere rahatrepil allapoole .|rahatrepil|NONE
Kas seda , et kui 2 100Mb-st võrgukat omavahel kokku panna , siis andmed jooksevad ikka 10Mb ?|10Mb|NONE
ou shit ... sry megadest siiski jutt käib ... läpakat võid ikka vaatama tulla - mul ju raha vaja|sry|NONE
Ma saaksin aru , kui jutt käiks firewallist/NAT-i purgist või mistahes pisut intelligentsemast riistapuust , kelle puhul FTP DATA kanali suunamise/lubamisega võib probleeme tekkida .|firewallist|NONE
Asjatundjad ütlevad , et kui põlevkivi on parimatest kohtadest välja võetud , liigub kaevandamine vaesematesse maardlatesse ja muutub üha kallimaks .|maardlatesse|LOC
jutt käib USA muskelautodest , aga ma annan sulle andeks .|muskelautodest|NONE
Üldse käib Hedvigil oma uue ansambliga töö ja vile koos .|Hedvigil|NONE
» Siis käis juba püksiluku kinnipaneku krrr , taustaks paras annus piinlikkust ja häbipuna .|krrr|NONE
Eesti turismifirma Novatours reisikonsultant Julia Vitsenko vaidleb siiski vastu : « Käisin eelmisel suvel Varnas ja Kuldsetel Liivadel ja võin väita , et ka Bulgaaria kuurortides on elu ligi 30% odavam kui Eestis .|Varnas|LOC
kutsekatesse käivad ka ikka paljud kodust kui sa just tln'st kuhugile põlvasse ei lähe .|kutsekatesse|LOC
Eesti luterliku kiriku misjonikeskuse juhataja Leevi Reinaru andmeil lahkus Rael Leedjärv koos kahe kolleegiga oma misjonijaamast 2. jaanuaril .|misjonijaamast|LOC
Riigisekretär käis pärastlõunal koos saatjatega Ridala vallas Põgari külas Mäevalla palvelas , kus Otto Tiefi valitsus pidas 1944. aasta sügisel oma viimase istungi .|palvelas|LOC
Taani põllumajandusminister tutvus Läänemaal käimasolevate Eesti-Taani ühisprojektidega , käis ökotalu põldudel Asukülas , Filee lihatööstuses ja maavalitsuses .|Asukülas|LOC
mu mõttemaailm on paarist õllest piiratud ja ma sain kuidagimoodi aru et jutt käib suusahüppajatest .|suusahüppajatest|NONE
Ja sellest on veel vähem aega tagasi , kui kolm taanlast käisid keskkonnakomisjonis ja tundsid huvi , millega nad saaksid meile kasulikud olla , millega nad saaksid meid aidata .|keskkonnakomisjonis|NONE
Kuna rahatasku on suur ( käisin siberis tööl ) , siis ostaks endale mõne suure kaliibrilise relva ja läheks viru keskusesse .|siberis|LOC
Ja veel käisin klassiga Soome-Rootsi tripil .|tripil|NONE
Kivist ehitatud märgist on eriti lihtne hakkama saada , Saksa neonatsidest küll mitte ehkki aktiivne töö käib .|neonatsidest|NONE
Käisin ksa-s .|ksa-s|NONE
Käisin eile Mulgi rattamaratonil ja olen rahul  Sport massidesse .|rattamaratonil|NONE
"""ma tantsin ikka viru tänava lõpus oma sõbrannaga nende kahe flöödipoisi järgi ja ropendan keset otepääd ja käin tartu mcdonaldsi taga kenderi ebanormaalne peapeal ja karjun halleluuja ja olen nagu tahan"|peapeal|"NONE"""
“ Mustjalas käib perekonnavalss , ” ütleb volikogu liige , Merit Meri abikaasa  Hugo  .|Mustjalas|LOC
Kui kaugküttesüsteemist lahkus mõni maja , siis jääjate jaoks tõusis hind : mida vähem tarbijaid , seda tugevam hinnatõususurve .|kaugküttesüsteemist|NONE
Nüüd aga astub Eesti riik välissuhetesse ja siis on kaks võimalust : kas me oleme iseseisev riik ja kaitseme oma iseseisvust , kaitseme oma kodanikke , kaitseme oma ettevõtteid , või me ei ole iseseisev riik , me ei kaitse oma kodanikke , ei kaitse oma ettevõtteid , ei taga neile välissubjektidega võrdseid õigusi .|välissuhetesse|NONE
Neetud , aga palju neist karjujatest ise valimas käis ?|karjujatest|NONE
Kui me oma konkurentsipoliitikas selles suunas liigume ja oleme suutnud tõestada , et oleme lähemal ajal võimelised seda rakendama ja olema osaline Euroopa Liidu konkurentsipoliitikas , siis ma arvan , et see on olnud pigem positiivne lähenemine .|konkurentsipoliitikas|NONE
Miks , sest kogu elu käib seal Ida-Virus Suure teemagistaraali ja raudtee vahel ning busse käis juba enne lademes .|lademes|NONE
Käisin praegu õiguskomisjonis õndsas lihtsameelses lootuses tutvuda eilse komisjoni koosoleku protokolliga .|õiguskomisjonis|LOC
Minuteada istuvad nad kõik põiki vahel aga sierral pikimootor .|sierral|NONE
Käisin täna just Melasis ja seal seffid arvasid , et kogu pull maha võtta ja siis lauapeal arutada ja vaadata mis loksub , kulund , puruks ja siis edasi tegutseda .|Melasis|LOC
Ja mis õli käib 4x4 tagadiffrisse ( LSD ) ?|tagadiffrisse|LOC
"""hmh praegu pole eriti aega .. kk ajal ikka kuulasin yht-teist , kuid pink floydist astusin koguaeg mööda .. no ehk kunagi istub plaadiriiulil , ja ikka enne , kui pop-kräpp-narko-disko"|plaadiriiulil|"LOC"""
vennaga käisime linnapial mighty maz'iga cruisimas , see mõnus hausilugu taustal mängimas , eeeeriti mõnus muretu tunne meenub .|cruisimas|NONE
"""tegelt ma vaatasin seda lehte korra mingi kole naise pilt tuli ette ja nii back nuppul klõps käis ja zones tagasi ma olin ."|nuppul|"LOC"""
Praegu on stuudio Tallinnas ja kogu mäng käib ümber selle Paabeli hoora .|hoora|NONE
Jah , aeg-ajalt , ja käin ka Kurgjal .|Kurgjal|LOC
badog: käisin sööömas ale ...... as|as|NONE
Commoon: ta käib pyg|pyg|NONE
badog: käisin jooxmas|jooxmas|NONE
La_Femme_Nikita: käi oma honoluluga kukkeseenele|kukkeseenele|NONE
kaks_litsi: käi ptslhm|ptslhm|NONE
m4n: mmis pidu käib kah|mmis|NONE
kriska: teate poisid jalkpal käib|jalkpal|NONE
truestud: istud oma arvuti taga ja käid pedelehtedel|pedelehtedel|NONE
deftogir: eelmistel võistlusttel käisin känza ja mul põlved marraskil ja ullemad sinikad olid ... puusa pial eriti ull , nii et 3 päeva pidin yhe külj epial magama|võistlusttel|NONE
goldenhair: Silent_Trigger jah ma käisin viiesel ..|viiesel|NONE
musirull: mis lugu käib ztv|ztv|NONE
ints: käige perse 7ees käite|7ees|NONE
okkas: irw knght astu mõni päev angaaris läbi saab tehtud|knght|NONE
okkas: selle pärast okkas aint tln vahet käibki|okkas|NONE
millu: ma pole piibes käinud|piibes|NONE
kriks_kokkab: istub oma hüppetorniocas ja püüab akala r smtin aga siialinna ta oma lestasid ei tõsta|hüppetorniocas|NONE
Lauri_s: ttg-s käin|ttg-s|LOC
rapdog: närviele käib ju|närviele|NONE
Maksuamet: ma käisin aegviidus 1kord|aegviidus|LOC
kussa: sa käisid ikka ssees ?|ssees|LOC
Kellyke: äksion käis terariumis|terariumis|LOC
"""Shad-the-Krabamatu: hvakk juu ma käisin eile bättelil ja rääpisin vastased sodiks ja mul on nüüd respekt vohh !"|bättelil|"NONE"""
plix15: mix keegi ei reegi vaid istuvad sjal fucking teleka taga|sjal|NONE
caupz: ciel käisid eile rannakas ka vä ?|rannakas|LOC
liisal_juheniikooskuiollav6ib: sa wast tglt nii wai naa ei usu et makoihal käin|makoihal|NONE
+spook: spacefly , aa coyote jookseb disketilt :)|disketilt|NONE
marco: käisin OnaFestil|OnaFestil|NONE
raven_idleb: mamõtlesin algul , et jutt käib laste süntesaatorist ...|süntesaatorist|NONE
windo: Kaija sa oled ilus nagu hormooniravil käinud supermodelli inetu kaksikõe järgi voolitud kujuga väga sarnase inimese vastand !|hormooniravil|NONE
avx: oi aitäh kas kõik käis kõigi kohta vee nnnn|nnnn|NONE
jull: mis rahvas seal amigos käib nyyd maimu|amigos|LOC
uudu: käib järgmine kord Vetsitallist läbi saab sealt lambid kaasa ja läheb seenele|Vetsitallist|LOC
narrow: pommiauk käib kooku freek|kooku|NONE
mailis: mingit raffast on kes käisid see nädala vahetus kalevispordihallis|kalevispordihallis|LOC
annika: slow sa käid päinakas we|päinakas|NONE
WickedSick: ma käis täna auras|auras|LOC
BUSTA: keegi RAHZEL il ka käis ?|il|NONE
kyllikas: ma käin lasteaijas|lasteaijas|LOC
