form|lause|classification
valitusest|Mang , kes teab kolmikliidu valitsuse ministrite sünnikaarte , ütleb , et nad teevad õigesti , kui lahkuvad juba aasta algul valitusest .|NONE
Valituses|Valituses esindavad erakonda viis ministrit : rahvastikuminister Katrin Saks , välisminister Toomas Hendrik Ilves , sotsiaalminister Eiki Nestor , põllumajandusminister Ivari Padar ja majandusminister Mihkel Pärnoja .|NONE
valitusele|Tegime isegi valitusele märgukirja , et seda maja lagunemast päästa .|NONE
valitusest|Muidugi on võimalik diplomaatilisi suhteid pingestada ning mõningal määral väljapressimistaktikat rakendada , kuid kasvõi majanduse vallas ei tule see kõne allagi - pool Türgi väliskaubandusest on seotud Euroopaga ning sellele käe ette panemine ei sõltu valitusest .|NONE
arvutimonitorile|Metoodika on lihtne : arvutisüsteem jälgib aju verevarustust ja kuvab arvutimonitorile selle graafilise kujutise .|LOC
arvutimonitoril|Ei , arvutimonitoril ei saagi pilti päris normaalseks .|LOC
arvutimonitorist|Sharp sai valmis prototüübi ehtsat kolmemõõtmelist pilti näitavast arvutimonitorist , mille vaatamiseks ei ole vaja spetsiaalseid prille nagu seni .|LOC
arvutimonitorile|Sama kesine on lugu reklaamiga , mis eelistab endiselt trükipressi ja teleekraani arvutimonitorile .|LOC
arvutimonitoril|Kui telefonihääletus pärast Homenja viimast lugu « Silmapiirid » lukku pandi , särasid arvutimonitoril protsendinumbrid 58 : 42 Jüri kasuks .|LOC
jääliustikes|Osa vett ootab oma aega jääliustikes , teine osa peitub sügaval pinna all .|LOC
jääliustikel|Alpide jääliustikel sulab enamus lumest .|LOC
LOC
Jääliustikul|Jääliustikul jäi jäätis Jääkaru Jetile jalgu .|LOC
jääliustikule|Jaaguar Jaanis jooksis jääliustikule .|LOC
NONE
konfliktikoldest|Euroopa südames hõõguvast konfliktikoldest on vaja lõppude lõpuks jagu saada .|NONE
konfliktikoldesse|Kosovska Mitrovica linnas sattusid prantslastest rahutagajad konfliktikoldesse , kus serblased muutusid eriti agressiivseks rahutagajate suhtes .|LOC
konfliktikoldes|Pühapäeval hoogustusid rahupingutused ka teises konfliktikoldes , Lõuna-Aafrika president Thabo Mbeki kutsus Davosis korraldama rahvusvahelist tippkohtumist Kongo kodusõja lõpetamiseks .|NONE
konfliktikolletes|Kosmoseanalüütikute sõnul oli raketi pardal ülimoodne luuresatelliit , mis oleks kuulanud maailma konfliktikolletes , sealhulgas Lähis-Idas , Pakistanis ja Indias pealt sõjaväe ja valitsusorganite sidekanaleid .|NONE
kuulirahest|Pavle Bulatoviciga Radi jalgpalliklubi restoranis koos olnud Mirko Knezevic , söögikoha omanik , ja Vuk Obradovic , tuntud pankur , pääsesid kuulirahest kergete vigastustega .|NONE
kuulirahele|Aknaklaasid peavad vastu isegi kuulirahele .|NONE
kuulirahes|Haavata sai kuulirahes 30 rahvaasemikku .|NONE
kuulirahest|""" Messiah "" mänguskeemi teine uudne rakurss tuleb esile , kui järjekordse tänavalahingu korras muutub politsei keres tuuletõmbus väljakannatamatuks ja Bob vahetab kuulirahest sõrestikuks muutunud torso mõne Choti oma vastu ."|NONE
kuulirahest|Hoolimata marulisest kuulirahest astuvad järgmised heausksed ernalased , inglise keelt kõnelevad tahmanäod vesteldes põrgu eeskoja poole .|NONE
Osoonikihis|Osoonikihis neeldub bioloogilisi kudesid kahjustav lühilaineline päikesekiirgus ( l < 290 nm täielikult ja 290 < l < 320 nm osaliselt ) .|LOC
osoonikihis|Tänavu Antarktika kohal osoonikihis tekkinud auk näib olevat seniregistreeritutest suurim , teatas teisipäeval Uus-Meremaa valitsuse teadusagentuur Antarctica .|LOC
osoonikihile|See ei laiene ka osoonikihile , seda käsitleb Genfi konventsioon , mis on samuti meil vastu võetud koos Montreali , Londoni ja Kopenhaageni kokkulepetega .|LOC
osoonikihis|Õnneks ei jõua need kiired maapinnani , sest lühemad kui 300 nm kiired hajuvad atmosfääri osoonikihis .|NONE
osoonikihis|Kõik inimesed on kiilad , sest osoonikihis on tekkinud suur auk ja kahjulikud kiired kahjustavad inimesi .|LOC
"""välisväljakul"|""" Ise alustasin omal ajal Helsingis välisväljakul , kuid siis olid talved karmimad kui praegu ."|"LOC"""
"""välisväljakul"|"Ise alustasin Helsingis välisväljakul , ja olime sellegagi rahul , "" kuuldub Kurrilt , kes jagab autogramme ja intervjuusid ning laseb end meelsasti koos soovijatega pildistada ."|"LOC"""
välisväljakuil|Sampo Open naiste turniir toimus aastaid juunis välisväljakuil , seekord on turniiri rahastajad teinud kannapöörde : täna algaval turniiril mängivad mehed , võisteldakse Rocca al Mare uue tennisehalli kõva kattega väljakuil .|LOC
välisväljakul|Levkoi sõnul tegutses Bursa Tofas täpselt nii , nagu välisväljakul peabki .|LOC
välisväljakutel|Vancouver kuulub samas kogu liigas välisväljakutel kõige harvemini võitjate hulka .|LOC
Darwinisse|Ligi 30 aastat tagasi asusid John ja Tiiu elama Darwinisse .|LOC
Darwinisse|ÜRO evakueeris eile enamiku oma missioonist Ida-Timori pealinnast Dilist Austraalia põhjaosas asuvasse Darwinisse .|LOC
NONE
Darwinis|"Nii kohtusid "" Lennuki "" pardal omavahel esimest korda kaks eestlast , kes on mõlemad elanud pisikeses Darwinis aastakümneid ."|LOC
Darwinisse|Hulk aborigeene , enamus paljajalu , olid kaugetelt sisemaadelt Darwinisse ülemkohut piirama tulnud .|LOC
NONE
saateansamblis|Igatahes saabub ta Eestisse koos Jimmyga , kes mängib ka Sahlene'i saateansamblis .|NONE
"""saateansamblites"|Manninen on tuntud rokimees , kes on mänginud Soome lauljate Pave Maijase ja Hectori saateansamblites ning Havana Blacksi , Gringos Locose ja Wishbone Ashi ansamblis .|"NONE"""
saateansamblites|Artistinimeks võttis ta siis Teddy Jack Eddy ning lõi kaasa Leon Russelli , Kris Kristoffersoni ja Willie Nelsoni saateansamblites .|NONE
saateansamblile|Viimasest osa , tõsi küll , kulub vist saateansamblile .|NONE
vändras|Yuko: Just käisin vändras Jaanis|LOC
vändras|marco: käisid vändras jaanil ?|LOC
LOC
vändras|MetsikRoos: sa elad vändras|LOC
vändras|energyman: otto-myller kust kandist vändras oled|LOC
RAMis|Tõenäoliselt planeedi ainsa kutselise meeskoori , Eesti Rahvusmeeskoori uus direktor Vello Mäeots , kes on RAMis laulnud 27 aastat , lubab taastada koori kuulsa soundi ja maine .|NONE
RAM-is|Ta käib RAM-is , me ei saa teda süüdistada .|NONE
RAM-is|Näiteks RAM-is laulab 60 meest .|NONE
NONE
NONE
lemmikloomapoest|Doktor Irene Pepperberg , kes tegeleb Harvardi ja Brandeisi ülikoolis võrdleva psühholoogiaga , ostis Alexi lemmikloomapoest , kui too oli üheaastane .|LOC
lemmikloomapoodides|Seevastu lemmikloomapoodides maksab puisniidu hein ligemale 30 krooni kilo ehk 30 korda rohkem kui tavahein .|LOC
"""lemmikloomapoodidesse"|Roomajaid paljundavad tuhanded fännid , samuti on rikastes Euroopa Liidu maades suured hulgimüügifirmad , mis müüvad roomajaid lemmikloomapoodidesse .|"LOC"""
lemmikloomapoodidesse|Tasapisi on ta loomi viinud mitmetesse lemmikloomapoodidesse .|LOC
lemmikloomapoes|""" Nähtamatu aed "" maksab lemmikloomapoes ligi 5000 krooni ."|LOC
rokk-kontserdil|Ljuba ristisid miilitsad kohe Mustaks Fatimaks , ühendades teda rokk-kontserdil Tušinos toimunud plahvatustega .|NONE
rokk-kontserdil|5. juuli 2003 : Moskvas Tušino lennuväljal toimunud rokk-kontserdil sai surma 15 ja vigastada|NONE
"""rokk-kontserdile"|Selge , et väikeste lastega rokk-kontserdile ei lähe - nad on nõus tuttavate juures olema , kuni meie veidi meelt lahutame .|"NONE"""
rokk-kontserdil|Kell 20 Raekoja platsil algaval rokk-kontserdil « Valgusesse » esinevad ansambel Rock Hotel ja Ivo Linna ning endistest Ruja muusikutest koosnev ansambel Led R koos Tallinna kammerorkestriga .|NONE
rokk-kontsertidel|Tehku oma põrgulärmi rokk-kontsertidel , seal on see oodatud asi , sinna on kogunenud vastav publik .|NONE
Acapulcos|Veebruari lõpus mängib Kanepi Mehhikos Acapulcos .|LOC
Acapulcos|""" Ma pole Grönefeldiga võistlustel kohtunud , kuid Acapulcos harjutasime koos ."|"LOC"""
LOC
Acapulcos|Acapulcos võitis meeste turniiri Luis Horna ja naiste turniiri Anna-Lena Grönefeld ( Saksamaa ) , kes finaalis alistas Maret Ani välja lülitanud Flavia Pennetta ( Itaalia ) 6 : 1 , 4 : 6 , 6 : 2.|LOC
Acapulcost|Ameerika-reis lõpeb Anile Miami tulemusest hoolimata selges plussis , sest lisaks Indian Wellsi 19350 dollarile teenis ta Acapulcost 7820.|LOC
Ameerika-turneelt|Üleeile jõudsid kolmenädalaselt Ameerika-turneelt koju Eesti Filharmoonia Kammerkoor ja Tallinna Kammerorkester koos dirigent Tõnu Kaljustega , seljataga 13 õnnestunud kontserti USA linnades .|NONE
Ameerika-turneele|“ Tunnetusüksus ” siirdub Ameerika-turneele|NONE
Ameerika-turneel|“ Ameerika-turneel nägime , kuidas vastased alles kuue-seitsme söödu järel viskasid , ” rääkis van Gent .|NONE
Ameerika-turneest|Tänavu ütles poptäht ära Ameerika-turneest ja võtab pärast Euroopa-tuuri aja maha .|NONE
Ameerika-turneel|Välisväljakul kogetavate ebameeldivustega kohanemiseks käisid kalevlased Ameerika-turneel .|NONE
egiptusest|kõrgus mingi 140 cm ... eelmine oli kõrgem nats veel aga vähem kvaliteetne ... tolle müüsin maha mingi 500 eest .. proovisin siin ka müüa , aga keegi ei tahtnud .... hinnaks sain uuele 350 kr , kui õigesti mäletan .... tõin egiptusest tubakat ka kaasa 10 blokki , need sai enamvähem maha müüdud ... koguemused on ka head , enamasti .... kõige lahedam koht , kus teind on oli kaarsilla peal tartus ... mitte seal üleval ( sõbra vesikas oli .. minu vana , temale müüsingi aga tema ei luband , üless viia seda ) aga ikkagi oli tore öösel kell 2 teha ja siis mingi inimesed kõnnivad kadedalt mööda ... aga paar korda on ka pea liialdamisest valutama hakkand .|LOC
egiptuses|kord , või 2 aastas käin egiptuses ja ostan tubakat ja sütt ka varusi vaja täiendada|LOC
egiptusesse|eki: mine egiptusesse siis|LOC
egiptuses|kissy: ää nu ma ei tea ma siin egiptuses ja sharmel sheigis pidid nad juba vintpüssidegasiiberdama|LOC
egiptuses|Ajamasin seletaks võibolla Nostradamust ja tänapäeva tehnikat ( nt tankid ) iidses egiptuses .|LOC
hõimurahvale|on viie Tallinna keskkooli õpilaskondade liit , kelle 10liikmeline delegatsioon käis Avatud Eesti Fondi toel juuli algul Mari Vabariigis hõimurahvale õpilasomavalitsuse võimalusi tutvustamas .|NONE
hõimurahvast|Kuus Eesti Ersa-Mokša sõpra käisid hõimurahvast lähemalt uurimas|NONE
Hõimurahvastele|Hõimurahvastele - maridele , ersadele , mokshadele , komidele , udmurtidele , ka liivlastele ja teistele - eesti keelt õpetades avame neile tee Eesti haridussüsteemi juurde ning tugevdame nii nende rahvuslikku intelligentsi ja emakeelte staatust .|NONE
NONE
hõimurahvalt|Oma hõimurahvalt soomlastelt oleme õppinud vabaturumajanduslikku töökultuuri .|NONE
laevavrakile|Rootslased põhjendasid laevavrakile minemise vajadust kümnete inimeste sooviga lähedaste surnukehad pinnale tuua .|LOC
laevavrakist|Vello Mäss näitab sonaripilti Naissaare lähedal merepõhjas paiknevast laevavrakist , mis on üks viimaseid huvitavamaid leide .|LOC
laevavrakile|Soome ajaleht kirjutab , et liiv on jäänud laevavrakile laevakere pooleli jäänud katmisest .|LOC
laevavrakis|Esimese tuukriekspeditsiooni Estonia vrakile korraldas Rootsi tellimusel Norra firma Rockwater 1994. aasta detsembris , toona töötasid tuukrid laevavrakis üle 60 tunni .|LOC
laevavrakil|Jõe teisel kaldal , roostes ja mahajäetud laevavrakil istub armunud venelaste paar .|LOC
"""uuenemisest"|Jutt käib siiski sisu uuenemisest ja paremast toimetamisest . ”|"NONE"""
uuenemisest|Prognoosi seisukohalt kõige huvipakkuvamat faasi − vahaküpsust − iseloomustab seega 3 erinevat summeerimisperioodi , mis algavad vegetatsiooni uuenemisest , loomisest ja piimküpsusest .|NONE
uuenemises|Mida positiivset näete vanalinna uuenemises , mis võiks olla eeskujuks ülejäänud korrastajaile ?|NONE
uuenemisele|Oma teisel Poola-visiidi päeval kutsus paavst Johannes Paulus II eile Gdanski lähistel Pelplinis enam kui 300 000 inimesele esinedes Poolat üles vaimsele uuenemisele , mälestades samas ka natsiohvreid .|NONE
uuenemisele|Selle sajandi algul püstitasid nooreestlased loosungi saada eurooplaseks , mis pani aluse nii kultuuri uuenemisele kui ühiskondliku mõtte avardumisele .|NONE
Anil|Mullu algas Anil just siis aasta lõpuni kestnud edu .|NONE
NONE
Anil|WTA edetabeli põhjal maailma saja parema paarismängija hulka kuuluval Anil tuli paaris Sampo Openi võitja Mait Künnapiga vaatemängulises ja ülimalt põnevas heitluses vanduda alla Kanepile ja lätlasele Janis Skroderisele .|NONE
Anil|Poolfinaalis tuleb Anil ja Gagliardil astuda vastu venelanna Tatjana Putšekile ja ukrainlanna Jelena Tatarkovale .|NONE
NONE
Tashkendis|Adolf Schickelgruber , maailmale tuntud rohkem Adolf Hitlerina , kes lõpetas oma elu enesetapuga 1945. aasta kevadel , on meie päevil Tashkendis Aleksandr Shishkini näol uuesti “ ellu tõusnud ” .|LOC
Tashkendis|Tashkendis käis tartlane spordiseltsi Kalev toel , päevarahaga toetas ehitusfirma TMV Grupp , kuid eeloleval teisipäeval Concordi sõitmiseks on vaja veel ligikaudu 20 000 krooni .|LOC
Tashkendist|Pilvitud pole Usbeki suhted ka Moskvaga , sest alles veebruari alguses tuli Tashkendist teade , et Usbekistan on otsustanud välja astuda Sõltumatute Riikide Ühenduse kollektiivsest julgeolekusüsteemist - täpsemini küll öelda lihtsalt lahti vastavast lepingust , sest ega mingit korralikku julgeolekusüsteemi SRÜ riikide vahel ju ei ole .|LOC
Tashkendis|Kui Jeltsin esmaspäeva hommikul Usbekistani pealinnas Tashkendis ärkas , arvas ta esialgu , et viibib Moskvas .|LOC
Tashkendis|Sydney olümpiamängude kreeka-rooma maadluse kolmandal valikturniiril Tashkendis 11. koha saanud Tartu kalevlane Helger Hallik ( pildil ) usub , et Sydneysse võistlema pääseda on reaalne .|LOC
habemikest|Võileibade müügikett Pret A Manger ei välista habemikest tööotsijate palkamist : “ Me ainult palume neilt , et habemed oleksid korralikult kärbitud . ”|NONE
habemikul|Järgmisel päeval käisid habemikul kaks külalist ja tõenäoliselt külakosti mõjul muutus ta päris hulluks , kirjeldas õppejõud .|NONE
habemikust|Ajaliselt Vatseliga võrdväärselt tutvume habemikust muusiku ja kodufilosoofi Tiiduga .|NONE
"""habemikust"|Kohtusse tunnistajaks tulnud habemikust Tartu Kultuurkapitali endine juhataja Tarmo Varendi kinnitab , et Maire otsis tookord suvel laenuvõimalust .|"NONE"""
habemikult|Kui küsin Kõpu poe pidajalt habemikult , et kus need kõige uhkemad kivikalmed olla võiks , kostab vastus , et oh , mis neist vaadata , need on lihtsalt ühed kivihunnikud .|NONE
vitus|ulluke: välk & pauk käis mari vitus ,|NONE
vitust|tegin siis hr vitust veel midagi :|NONE
"""vitust"|""" Ma olen võitnud Motorola , Ericssoni ; ma olen vallutanud Ameerika , Hiina - aga ma ei tea midagi vitust - ja see ongi minu kriis - teadusest tean ma kõike - aga vitust - mitte munnigi ! "" pihib peategelane Ollila näidendis ."|"NONE"""
vitust|wild20: kuradi jama ma tulin oma emme vitust|LOC
NONE
estraadistuudios|Lauluoskust Enn täiendaski filharmoonia juures estraadistuudios .|LOC
"""estraadistuudios"|""" Vahepeal tahtsime estraadistuudios õppimise eest kehtestada väikest tasu , "" räägib Rein Klink ."|"LOC"""
estraadistuudiosse|Eino Baskin kutsus Ines Aru fila estraadistuudiosse lavakõnet õpetama .|LOC
Estraadistuudiosse|Estraadistuudiosse konkureeris igal aastal paarsada noort|LOC
estraadistuudios|1960ndatel hankisid kümned tulevased lavatähed laulu- ja lavatarkusi ENSV Riikliku Filharmoonia estraadistuudios .|LOC
"""laristamises"|Ent nimelt tippjuhte süüdistavad ametiühinguliidrid mõttetus laristamises ja kokkuhoius pigem teiste kui iseenda arvelt .|"NONE"""
laristamisele|Eesti rahvas ootab juba ammu , millal laristamisele ükskord ometi lõpp tuleb , haldusvalitsemise alas kaasa arvatud .|NONE
laristamisest|Tal olid tõld ja teenrid ning rahahädad tekkisid tal peamiselt laristamisest .|NONE
"""laristamisest"|Jutt ei käi laristamisest ega priiskamisest , selge , et kõlisevat peab ka lugeda oskama .|"NONE"""
laristamises|Linnapea süüdistab laristamises|NONE
latrites|hobusekasvandusse , mille latrites põtkasid kõigi ilmanurkade hobuloomad – šetlandi ja dartmoori ponidest kuni tuliste delibosteni .|LOC
latrisse|“ Mida ma ronin sinna latrisse , kus peab kõht sees seisma , ” oli Veskimäe nördinud .|LOC
latrites|Kuid väga sümpaatne on , et lauad asuvad eraldi latrites ja söögi ajal ei pea naaberlauale kuklasse hingama .|LOC
latris|Oodates printsi tulekut istuvad nad igal õhtul oma baari latris ja meelitavad välismaa mehi endile drinki ostma .|LOC
latrites|Maantee päikeselõõsast tulnule on kõrtsituba mõnusalt jahe ja hämar , lauad paiknevad puitseintega eraldatud latrites .|LOC
Missugusesse|Missugusesse , ütleb ta siis , kui koht üle vaadatud ja leping sõlmitud .|NONE
missugusest|Küsimus ei ole selles , missugusest « rahavoo torust » täpselt raha tuleb .|NONE
NONE
missuguses|Sellepärast ütlesin oma kaaslasele : jookse kiiresti samas suunas , missuguses see kaak läks , mina teen , nagu oleksin ma leidnud siit selle verise peaga mehe .|NONE
missugusest|Kuidas kaminateaduses kõige paremini orienteeruda , missugune kamin sobib korterisse ning missugusest õhkub kõige enam sooja ?|LOC
Vana-Kreekast|"Termin "" paranoia "" pärineb Vana-Kreekast ja selle tähendus võiks olla "" mõistus iseenda kõrval "" ."|LOC
Vana-Kreekast|Oma ladinakeelse nime Achillea on ta saanud Vana-Kreekast Homerose « Iliase » kangelase Achilleuse järgi , kes ravis oma sõdurite haavu raudrohuga .|LOC
Vana-Kreekas|Juba Vana-Kreekas kasutasid ühiskonna kõrgemate klasside pered ammesid , kui ema ei tahtnud või ei saanud oma last toita .|LOC
Vana-Kreekas|"Saates esitatud küsimus kõlas : "" Mida tähendas Vana-Kreekas sõna "" idiotes "" , millest tuleneb tänapäevane "" idioot "" ? """|LOC
Vana-Kreekas|Juba Vana-Kreekas kasutasid ühiskonna kõrgemate klasside pered ammesid , kui ema ei tahtnud või ei saanud oma last toita .|LOC
fonoteegist|J   uhani Püttsepp  , avapidustuste lavastaja :  Idee sai alguse ühelt mu tuttavalt , kes , kuuldes minu plaanidest , leidis oma kodusest fonoteegist vanakreeka muusika nüüdisesituse .|LOC
